replicate,run_type,p_value,K_alt,logL_alt,AICc_alt,params_alt,logL_null,AICc_null,params_null,global_dNdS_reference,global_dNdS_test,warnings
1,SRV,0.4721,1.49,-4748.03,9560.51,32.0,-4748.28,9559.0,31.0,0.4134,0.2666,Convergence/flat likelihood
2,SRV,,,,,,,,,0.4134,0.2666,
3,SRV,0.472,1.49,-4748.03,9560.51,32.0,-4748.28,9559.0,31.0,0.4134,0.2666,Convergence/flat likelihood
4,SRV,0.4727,1.5,-4748.03,9560.51,32.0,-4748.29,9559.0,31.0,0.4134,0.2666,Convergence/flat likelihood
5,SRV,0.4726,1.5,-4748.03,9560.51,32.0,-4748.28,9559.0,31.0,0.4134,0.2666,Convergence/flat likelihood; Collapsed rate class
6,SRV,0.4719,1.49,-4748.03,9560.51,32.0,-4748.28,9559.0,31.0,0.4134,0.2666,Convergence/flat likelihood; Collapsed rate class
7,SRV,0.472,1.49,-4748.03,9560.51,32.0,-4748.28,9559.0,31.0,0.4134,0.2666,Convergence/flat likelihood; Collapsed rate class
8,SRV,0.4722,1.49,-4748.03,9560.51,32.0,-4748.28,9559.0,31.0,0.4134,0.2666,Convergence/flat likelihood; Collapsed rate class
9,SRV,0.473,1.5,-4748.03,9560.51,32.0,-4748.28,9559.0,31.0,0.4134,0.2666,Convergence/flat likelihood; Collapsed rate class
10,SRV,0.4721,1.5,-4748.03,9560.51,32.0,-4748.28,9559.0,31.0,0.4134,0.2666,Convergence/flat likelihood; Collapsed rate class
1,SRV+Double,0.4729,1.49,-4748.02,9564.56,34.0,-4748.28,9563.05,33.0,0.4134,0.2666,Convergence/flat likelihood; Collapsed rate class
2,SRV+Double,0.4737,1.5,-4748.02,9564.56,34.0,-4748.28,9563.05,33.0,0.4134,0.2666,Convergence/flat likelihood; Collapsed rate class
3,SRV+Double,0.4726,1.49,-4748.02,9564.56,34.0,-4748.28,9563.05,33.0,0.4134,0.2666,Convergence/flat likelihood; Collapsed rate class
4,SRV+Double,0.473,1.5,-4748.02,9564.56,34.0,-4748.28,9563.05,33.0,0.4134,0.2666,Convergence/flat likelihood; Collapsed rate class
5,SRV+Double,0.473,1.49,-4748.02,9564.56,34.0,-4748.28,9563.05,33.0,0.4134,0.2666,Convergence/flat likelihood; Collapsed rate class
6,SRV+Double,0.4729,1.49,-4748.02,9564.56,34.0,-4748.28,9563.05,33.0,0.4134,0.2666,Convergence/flat likelihood; Collapsed rate class
7,SRV+Double,0.473,1.49,-4748.02,9564.56,34.0,-4748.28,9563.05,33.0,0.4134,0.2666,Convergence/flat likelihood; Collapsed rate class
8,SRV+Double,0.4745,1.49,-4748.02,9564.56,34.0,-4748.28,9563.05,33.0,0.4134,0.2666,Convergence/flat likelihood; Collapsed rate class
9,SRV+Double,0.473,1.5,-4748.02,9564.56,34.0,-4748.28,9563.05,33.0,0.4134,0.2666,Convergence/flat likelihood; Collapsed rate class
10,SRV+Double,0.4735,1.5,-4748.02,9564.56,34.0,-4748.28,9563.05,33.0,0.4134,0.2666,Convergence/flat likelihood; Collapsed rate class
1,SRV+Double+Triple,0.4742,1.49,-4748.02,9568.62,36.0,-4748.28,9567.11,35.0,0.4134,0.2666,Convergence/flat likelihood; Collapsed rate class
2,SRV+Double+Triple,0.4736,1.5,-4748.02,9568.62,36.0,-4748.28,9567.11,35.0,0.4134,0.2666,Convergence/flat likelihood; Collapsed rate class
3,SRV+Double+Triple,0.4731,1.49,-4748.02,9568.62,36.0,-4748.28,9567.11,35.0,0.4134,0.2666,Convergence/flat likelihood; Collapsed rate class
4,SRV+Double+Triple,0.4737,1.49,-4748.02,9568.62,36.0,-4748.28,9567.11,35.0,0.4134,0.2666,Convergence/flat likelihood; Collapsed rate class
5,SRV+Double+Triple,0.4733,1.5,-4748.02,9568.62,36.0,-4748.28,9567.11,35.0,0.4134,0.2666,Convergence/flat likelihood; Collapsed rate class
6,SRV+Double+Triple,0.4737,1.5,-4748.02,9568.62,36.0,-4748.28,9567.11,35.0,0.4134,0.2666,Convergence/flat likelihood; Collapsed rate class
7,SRV+Double+Triple,0.4731,1.5,-4748.02,9568.62,36.0,-4748.28,9567.11,35.0,0.4134,0.2666,Convergence/flat likelihood; Collapsed rate class
8,SRV+Double+Triple,0.4732,1.48,-4748.02,9568.62,36.0,-4748.28,9567.11,35.0,0.4134,0.2666,Convergence/flat likelihood; Collapsed rate class
9,SRV+Double+Triple,0.474,1.5,-4748.02,9568.62,36.0,-4748.28,9567.11,35.0,0.4134,0.2666,Convergence/flat likelihood; Collapsed rate class
10,SRV+Double+Triple,,,,,,,,,,,
